date,hpi,country,mortgage_rate,gdp_growth,unemployment,permits,ecb_rate,hpi_growth,hpi_growth_yoy,mort_lag1,mort_lag2,mort_lag3,mort_lag4,post_qe,mort_change,mort_change_lag1,mort_x_post_qe
2012-06-30,105.1366,FR,3.896666666666667,0.4,9.7,126.0,0.25,0.0,-0.19024654205075375,4.010000000000001,3.94,3.9233333333333333,3.7866666666666666,0,-0.11333333333333373,0.07000000000000073,0.0
2012-09-30,105.8381,FR,3.6799999999999997,0.4,9.733334,122.4,0.02717391304347826,0.6672272072713037,-1.58440423276488,3.896666666666667,4.010000000000001,3.94,3.9233333333333333,0,-0.21666666666666723,-0.11333333333333373,0.0
2012-12-31,104.3348,FR,3.466666666666667,-0.1,10.2,114.1,0.0,-1.4203769719977943,-2.069557169768632,3.6799999999999997,3.896666666666667,4.010000000000001,3.94,0,-0.21333333333333293,-0.21666666666666723,0.0
2013-03-31,103.0318,FR,3.3066666666666666,0.5,10.4,134.7,0.0,-1.2488642332184496,-2.001966964881874,3.466666666666667,3.6799999999999997,3.896666666666667,4.010000000000001,0,-0.16000000000000014,-0.21333333333333293,0.0
2013-06-30,102.9316,FR,3.1799999999999997,0.2,10.43333,97.7,0.0,-0.09725152816897342,-2.0972715495840677,3.3066666666666666,3.466666666666667,3.6799999999999997,3.896666666666667,0,-0.12666666666666693,-0.16000000000000014,0.0
2013-09-30,103.8336,FR,3.0933333333333333,-0.1,10.23333,92.8,0.0,0.8763100933046886,-1.8939304465972029,3.1799999999999997,3.3066666666666666,3.466666666666667,3.6799999999999997,0,-0.08666666666666645,-0.12666666666666693,0.0
2013-12-31,102.7311,FR,3.1466666666666665,-0.2,10.16667,102.3,0.0,-1.0617950258875797,-1.5370710443687097,3.0933333333333333,3.1799999999999997,3.3066666666666666,3.466666666666667,0,0.05333333333333323,-0.08666666666666645,0.0
2014-03-31,101.5284,FR,3.186666666666667,0.4,10.2,101.1,0.0,-1.170726294179647,-1.45916115218796,3.1466666666666665,3.0933333333333333,3.1799999999999997,3.3066666666666666,0,0.04000000000000048,0.05333333333333323,0.0
2014-06-30,101.7289,FR,3.08,0.2,10.13333,92.0,-0.02197802197802198,0.19748168985229686,-1.1684458417045906,3.186666666666667,3.1466666666666665,3.0933333333333333,3.1799999999999997,0,-0.10666666666666691,0.04000000000000048,0.0
2014-09-30,102.5307,FR,2.8766666666666665,0.2,10.23333,91.9,-0.12282608695652175,0.7881732722952783,-1.2547961353550408,3.08,3.186666666666667,3.1466666666666665,3.0933333333333333,0,-0.2033333333333336,-0.10666666666666691,0.0
2014-12-31,100.5262,FR,2.67,0.3,10.46667,90.3,-0.2,-1.9550242025071496,-2.1462828685763102,2.8766666666666665,3.08,3.186666666666667,3.1466666666666665,0,-0.20666666666666655,-0.2033333333333336,0.0
2015-03-31,99.6242,FR,2.493333333333333,0.2,10.36667,96.0,-0.2,-0.8972785204255262,-1.8755343332506058,2.67,2.8766666666666665,3.08,3.186666666666667,1,-0.17666666666666675,-0.20666666666666655,2.493333333333333
2015-06-30,99.7244,FR,2.2433333333333336,0.3,10.43333,97.7,-0.19999999999999998,0.10057797201885599,-1.970433180738207,2.493333333333333,2.67,2.8766666666666665,3.08,1,-0.24999999999999956,-0.17666666666666675,2.2433333333333336
2015-09-30,101.1275,FR,2.18,0.5,10.3,99.1,-0.2,1.4069776303492265,-1.3685657076368374,2.2433333333333336,2.493333333333333,2.67,2.8766666666666665,1,-0.06333333333333346,-0.24999999999999956,2.18
2015-12-31,100.426,FR,2.3066666666666666,0.1,10.26667,107.2,-0.225,-0.6936787718474169,-0.09967550747964626,2.18,2.2433333333333336,2.493333333333333,2.67,1,0.12666666666666648,-0.06333333333333346,2.3066666666666666
2016-03-31,99.9248,FR,2.25,0.1,10.3,107.1,-0.31758241758241756,-0.49907394499432156,0.30173391605654576,2.3066666666666666,2.18,2.2433333333333336,2.493333333333333,1,-0.05666666666666664,0.12666666666666648,2.25
2016-06-30,100.426,FR,1.97,-0.2,10.0,112.0,-0.39999999999999997,0.5015771860439111,0.7035389533554426,2.25,2.3066666666666666,2.18,2.2433333333333336,1,-0.28,-0.05666666666666664,1.97
2016-09-30,102.6309,FR,1.7233333333333334,0.2,9.866667,119.3,-0.4,2.1955469699081798,1.486638154804587,1.97,2.25,2.3066666666666666,2.18,1,-0.2466666666666666,-0.28,1.7233333333333334
2016-12-31,102.0296,FR,1.5533333333333335,0.0,10.06667,122.4,-0.4,-0.585885927142793,1.5967976420448782,1.7233333333333334,1.97,2.25,2.3066666666666666,1,-0.16999999999999993,-0.2466666666666666,1.5533333333333335
2017-03-31,102.7311,FR,1.5266666666666666,0.3,9.633333,117.7,-0.4,0.6875455750096071,2.808411925768173,1.5533333333333335,1.7233333333333334,1.97,2.25,1,-0.02666666666666684,-0.16999999999999993,1.5266666666666666
2017-06-30,103.7334,FR,1.59,0.3,9.5,124.0,-0.39999999999999997,0.9756539159027744,3.293370242765814,1.5266666666666666,1.5533333333333335,1.7233333333333334,1.97,1,0.06333333333333346,-0.02666666666666684,1.59
2017-09-30,105.9384,FR,1.64,0.0,9.466666,128.9,-0.4,2.125641307428472,3.222713627182472,1.59,1.5266666666666666,1.5533333333333335,1.7233333333333334,1,0.04999999999999982,0.06333333333333346,1.64
2017-12-31,105.4372,FR,1.6333333333333335,0.2,9.033334,119.2,-0.4,-0.47310512524258996,3.3398151124771625,1.64,1.59,1.5266666666666666,1.5533333333333335,1,-0.0066666666666663765,0.04999999999999982,1.6333333333333335
2018-03-31,105.7379,FR,1.6000000000000003,0.4,9.266666,123.0,-0.4,0.2851934611313611,2.926864406202201,1.6333333333333335,1.64,1.59,1.5266666666666666,1,-0.033333333333333215,-0.0066666666666663765,1.6000000000000003
2018-06-30,106.6399,FR,1.5633333333333335,0.2,9.1,117.0,-0.39999999999999997,0.8530526897167379,2.8018940861863184,1.6000000000000003,1.6333333333333335,1.64,1.59,1,-0.03666666666666685,-0.033333333333333215,1.5633333333333335
2018-09-30,108.8449,FR,1.5266666666666666,0.5,8.933333,111.5,-0.4,2.067706365065991,2.7435755118068617,1.5633333333333335,1.6000000000000003,1.6333333333333335,1.64,1,-0.03666666666666685,-0.03666666666666685,1.5266666666666666
2018-12-31,108.8449,FR,1.4966666666666668,0.3,8.766666,112.2,-0.4,0.0,3.2319712587208116,1.5266666666666666,1.5633333333333335,1.6000000000000003,1.6333333333333335,1,-0.029999999999999805,-0.03666666666666685,1.4966666666666668
2019-03-31,108.8449,FR,1.5033333333333332,0.2,8.733334,109.0,-0.4,0.0,2.938397679545357,1.4966666666666668,1.5266666666666666,1.5633333333333335,1.6000000000000003,1,0.0066666666666663765,-0.029999999999999805,1.5033333333333332
2019-06-30,110.0476,FR,1.4400000000000002,0.3,8.5,111.3,-0.39999999999999997,1.104966792196982,3.195520625957071,1.5033333333333332,1.4966666666666668,1.5266666666666666,1.5633333333333335,1,-0.06333333333333302,0.0066666666666663765,1.4400000000000002
2019-09-30,112.5532,FR,1.3066666666666666,0.4,8.3,107.1,-0.4141304347826087,2.2768329341121385,3.4069579741448752,1.4400000000000002,1.5033333333333332,1.4966666666666668,1.5266666666666666,1,-0.13333333333333353,-0.06333333333333302,1.3066666666666666
2019-12-31,112.9541,FR,1.2,0.3,8.2,119.0,-0.5,0.3561871186247956,3.775280238210521,1.3066666666666666,1.4400000000000002,1.5033333333333332,1.4966666666666668,1,-0.10666666666666669,-0.13333333333333353,1.2
2020-03-31,114.1569,FR,1.1833333333333333,1.5,7.866667,114.8,-0.5,1.0648573181495813,4.880338904257342,1.2,1.3066666666666666,1.4400000000000002,1.5033333333333332,1,-0.016666666666666607,-0.10666666666666669,1.1833333333333333
2020-06-30,115.7605,FR,1.2933333333333332,3.1,7.3,66.1,-0.5,1.4047333100320802,5.191299037870878,1.1833333333333333,1.2,1.3066666666666666,1.4400000000000002,1,0.10999999999999988,-0.016666666666666607,1.2933333333333332
2020-09-30,118.0656,FR,1.3,-2.8,8.866667,93.6,-0.5,1.9912664509915023,4.897595092809448,1.2933333333333332,1.1833333333333333,1.2,1.3066666666666666,1,0.006666666666666821,0.10999999999999988,1.3
